,Source,Target,CAMEOCode,NumEvents,NumArts,SourceGeoType,TargetGeoType,ActionGeoType,SourceGeoLatInt,TargetGeoLatInt,ActionGeoLatInt,Month
1195,11263,11263,21,1,1.0,3,4,4,38,-17,-17,1
1691,11263,6932,19,1,9.0,4,4,4,0,0,0,1
2533,11263,11263,11,1,2.0,4,4,4,52,52,52,1
2534,11263,11302,11,1,5.0,2,2,2,37,37,37,1
5224,11263,11263,20,1,2.0,3,3,3,27,27,27,1
5887,11263,11263,11,1,5.0,1,1,1,38,38,38,1
12678,11263,7033,20,1,2.0,4,1,4,31,38,31,1
12679,11263,11408,20,1,3.0,3,3,3,38,38,38,1
17417,11263,11297,11,1,5.0,3,3,2,34,34,33,2
17418,11263,11297,19,1,5.0,3,3,3,33,33,33,2
99656,11263,3099,21,2,9.0,2,4,2,42,41,42,6
99657,11263,11263,21,2,4.0,2,2,2,42,42,42,6
147672,11263,11634,9,1,1.0,3,3,3,38,38,38,9
169484,11263,7061,21,1,36.0,4,4,4,39,39,39,10
193012,11263,5309,1,2,2.0,1,1,1,42,42,42,11
193891,11263,4167,8,1,5.0,2,2,2,36,36,36,11
198223,11263,4167,20,1,3.0,4,4,4,35,35,35,12
202495,11263,7061,20,2,8.0,4,4,4,35,35,35,12
235008,11263,11263,3,3,6.0,3,3,4,29,29,40,2
255528,11263,3759,9,2,10.0,2,4,4,42,8,8,3
255529,11263,11263,9,2,10.0,4,4,4,37,37,37,3
259002,11263,11263,1,1,2.0,2,4,2,42,8,42,3
260365,11263,5309,9,1,2.0,2,2,2,42,42,42,3
260366,11263,5322,9,2,4.0,4,4,4,8,37,8,3
260367,11263,8784,3,3,8.0,4,4,4,37,37,37,3
260368,11263,8784,9,1,2.0,2,2,2,42,42,42,3
269638,11263,2827,3,1,9.0,4,4,4,35,35,35,3
269639,11263,2827,20,2,5.0,4,4,4,35,35,35,3
270368,11263,5309,9,2,5.0,4,4,4,30,30,30,3
270369,11263,5322,9,1,2.0,4,4,4,30,37,37,3
272136,11263,2827,20,1,5.0,3,1,3,29,39,29,3
272137,11263,8784,9,1,5.0,3,4,4,38,30,8,3
275920,11263,2827,20,1,5.0,3,1,3,29,39,29,4
275921,11263,8784,9,1,5.0,3,4,4,38,30,8,4
281134,11263,2827,20,1,5.0,3,1,3,29,39,29,4
281135,11263,8784,9,1,5.0,3,4,4,38,30,8,4
329580,11263,4167,21,1,1.0,3,3,3,33,33,33,6
